category,difficulty,question,option1,option2,option3,option4,correctIndex,gameType,tags
General Knowledge,medium,"Name Pakistan's surface-to-surface ballistic missile capable of delivering multiple warheads using MIRV technology?",Shaheen-II,Ababeel,Nasr,Ghauri,1,enigma_pulse,pakistan;defence
General Knowledge,medium,"Pakistan test-fired its first submarine-launched cruise missile Babur-III on 9 January 2017. What is its approximate range in kilometres?",450 kilometres,550 kilometres,650 kilometres,700 kilometres,0,enigma_pulse,pakistan;defence
General Knowledge,medium,"Name the Pakistan Navy special task force established in December 2016 to help safeguard the China–Pakistan Economic Corridor and Gwadar port.",Task Force 21,Task Force 44,Task Force 88,Task Force 2,2,enigma_pulse,pakistan;navy;cpec
General Knowledge,medium,"How many Chiefs of Army Staff (COAS) of Pakistan have been selected from the Baloch Regiment (as commonly asked in Pakistan GK tests)?",Two,Three,Four,None of these,0,enigma_pulse,pakistan;army
General Knowledge,medium,"General Zubair Hayat was which Chairman Joint Chiefs of Staff Committee (CJCSC) of Pakistan?",13th,15th,16th,17th,3,enigma_pulse,pakistan;defence
General Knowledge,medium,"Newly selected Army chief Qamar Javed Bajwa belonged to which regiment?",6th FF,16th Baloch Regiment,5th Punjab,13th Lancers,1,enigma_pulse,pakistan;army
General Knowledge,medium,"Who was the 6th Chairman Joint Chiefs of Staff Committee of Pakistan?",General Muhammad Sawar Khan,Air Marshal Farooq Feroz Khan,General Shamim Alam Khan,None of them,2,enigma_pulse,pakistan;defence
General Knowledge,medium,"In which city is Military College Jhelum located?",Risalpur,Islamabad,Sarai Alamgir,Sargodha,2,enigma_pulse,pakistan;army
General Knowledge,medium,"In which city is the Military College of Engineering located?",Risalpur,Islamabad,Gujranwala,Sargodha,0,enigma_pulse,pakistan;army
General Knowledge,medium,"In which city is Army Medical College located?",Rawalpindi,Quetta,Islamabad,Multan,0,enigma_pulse,pakistan;army
General Knowledge,medium,"In which city is the National Defence University located?",Rawalpindi,Quetta,Islamabad,Multan,2,enigma_pulse,pakistan;defence
General Knowledge,medium,"In which city is the Pakistan Command and Staff College located?",Karachi,Quetta,Islamabad,Multan,1,enigma_pulse,pakistan;army
General Knowledge,medium,"In which city is the Pakistan Naval War College located?",Karachi,Lahore,Islamabad,Multan,0,enigma_pulse,pakistan;navy
General Knowledge,medium,"In which city is the Pakistan Naval Staff College located?",Karachi,Lahore,Multan,Rawalpindi,0,enigma_pulse,pakistan;navy
General Knowledge,medium,"On which date was Captain Karnal Sher Khan martyred at Kargil?",5th June 1999,5th July 1999,5th August 1999,5th October 1999,1,enigma_pulse,pakistan;army;kargil
General Knowledge,medium,"In which city is the Pakistan Naval Academy located?",Karachi,Lahore,Multan,Rawalpindi,0,enigma_pulse,pakistan;navy
