category,difficulty,question,option1,option2,option3,option4,correctIndex,gameType,tags,active
history,easy,(trivia) history easy question 1: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 2: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 3: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 4: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 5: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 6: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 7: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 8: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 9: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 10: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 11: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 12: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 13: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 14: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 15: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 16: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 17: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 18: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 19: choose the best answer.,Answer 3,Distractor 4,Distractor 1,Distractor 2,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 20: choose the best answer.,Answer 4,Distractor 1,Distractor 2,Distractor 3,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 21: choose the best answer.,Answer 1,Distractor 2,Distractor 3,Distractor 4,0,trivia,trivia;history;easy,true
history,easy,(trivia) history easy question 22: choose the best answer.,Answer 2,Distractor 3,Distractor 4,Distractor 1,0,trivia,trivia;history;easy,true
